size,DPUs,time(s),rate(MB/s)
19712,308,0.142739,138098
19776,309,0.142728,138557
19840,310,0.142698,139035
19904,311,0.142726,139456
19968,312,0.142696,139934
20032,313,0.1427,140378
20096,314,0.142732,140795
20160,315,0.142723,141253
20224,316,0.142737,141687
20288,317,0.142714,142158
20352,318,0.142722,142599
20416,319,0.142729,143040
20480,320,0.14269,143528
20544,321,0.142745,143921
20608,322,0.142812,144302
20672,323,0.142822,144740
20736,324,0.142834,145176
20800,325,0.1428,145658
20864,326,0.142793,146114
20928,327,0.142812,146542
20992,328,0.142754,147050
21056,329,0.142824,147426
21120,330,0.142794,147905
21184,331,0.142745,148404
21248,332,0.142753,148845
21312,333,0.142799,149245
21376,334,0.142754,149740
21440,335,0.142798,150142
21504,336,0.142767,150623
21568,337,0.142759,151080
21632,338,0.142759,151528
21696,339,0.142794,151939
21760,340,0.142762,152422
21824,341,0.1428,152829
21888,342,0.142785,153293
21952,343,0.142749,153780
22016,344,0.142756,154221
22080,345,0.142763,154662
22144,346,0.142749,155125
22208,347,0.142781,155539
22272,348,0.142786,155982
22336,349,0.142783,156433
22400,350,0.142754,156913
22464,351,0.142759,157356
22528,352,0.142741,157824
22592,353,0.14278,158229
22656,354,0.14277,158689
22720,355,0.142763,159145
22784,356,0.142749,159609
22848,357,0.142796,160004
22912,358,0.142747,160508
22976,359,0.14276,160941
23040,360,0.142804,161340
23104,361,0.142809,161783
23168,362,0.142779,162265
23232,363,0.142753,162743
23296,364,0.142748,163197
23360,365,0.142812,163572
23424,366,0.142763,164076
23488,367,0.1428,164482
23552,368,0.142771,164963
23616,369,0.1428,165378
23680,370,0.142748,165887
23744,371,0.142769,166311
23808,372,0.142747,166785
23872,373,0.142795,167177
23936,374,0.142808,167610
24000,375,0.142754,168121
24064,376,0.142738,168589
24128,377,0.142735,169041
24192,378,0.142774,169443
24256,379,0.142736,169936
24320,380,0.142824,170280
24384,381,0.142745,170822
24448,382,0.142802,171202
24512,383,0.142795,171659
24576,384,0.142741,172172
24640,385,0.142796,172554
24704,386,0.14276,173046
24768,387,0.142762,173492
24832,388,0.142826,173862
24896,389,0.142726,174432
24960,390,0.142772,174824
25024,391,0.142733,175320
25088,392,0.142774,175718
25152,393,0.142748,176199
25216,394,0.142745,176651
25280,395,0.142808,177021
25344,396,0.142788,177494
25408,397,0.142786,177945
25472,398,0.142769,178414
25536,399,0.14279,178836
25600,400,0.142776,179302
25664,401,0.142776,179750
25728,402,0.142763,180215
25792,403,0.142768,180657
25856,404,0.142754,181123
25920,405,0.14276,181563
25984,406,0.142781,181985
26048,407,0.142755,182466
26112,408,0.142783,182879
26176,409,0.142762,183354
26240,410,0.142777,183783
26304,411,0.14273,184292
26368,412,0.142776,184681
26432,413,0.142775,185130
26496,414,0.142777,185576
26560,415,0.142778,186023
26624,416,0.142825,186410
26688,417,0.142769,186931
26752,418,0.142755,187398
26816,419,0.142801,187786
26880,420,0.142743,188310
26944,421,0.142794,188691
27008,422,0.14276,189185
27072,423,0.142751,189645
27136,424,0.142775,190061
27200,425,0.142786,190495
27264,426,0.142783,190947
27328,427,0.142733,191462
27392,428,0.142757,191879
27456,429,0.142751,192335
27520,430,0.14277,192758
27584,431,0.142785,193186
27648,432,0.142773,193650
27712,433,0.142734,194151
27776,434,0.142751,194577
27840,435,0.142743,195036
27904,436,0.142734,195497
27968,437,0.142739,195938
28032,438,0.142791,196315
28096,439,0.142752,196817
28160,440,0.142785,197220
28224,441,0.142726,197750
28288,442,0.142754,198159
28352,443,0.142778,198574
28416,444,0.142791,199004
28480,445,0.142775,199475
28544,446,0.14279,199902
28608,447,0.142768,200381
28672,448,0.142773,200822
28736,449,0.14279,201247
28800,450,0.142786,201700
28864,451,0.142774,202166
28928,452,0.142769,202621
28992,453,0.14275,203096
29056,454,0.142765,203523
29120,455,0.14281,203907
29184,456,0.142823,204337
29248,457,0.142755,204882
29312,458,0.143087,204854
29376,459,0.142773,205753
29440,460,0.142786,206183
29504,461,0.142772,206651
29568,462,0.142781,207086
29632,463,0.14278,207536
29696,464,0.142798,207958
29760,465,0.142795,208411
29824,466,0.142769,208897
29888,467,0.142788,209317
29952,468,0.142819,209720
30016,469,0.142768,210243
30080,470,0.142779,210675
30144,471,0.142816,211069
30208,472,0.142806,211532
30272,473,0.142764,212042
30336,474,0.142787,212456
30400,475,0.142755,212952
30464,476,0.142747,213413
30528,477,0.142774,213820
30592,478,0.14279,214245
30656,479,0.142816,214654
30720,480,0.142777,215161
30784,481,0.14313,215077
30848,482,0.142743,216109
30912,483,0.142759,216533
30976,484,0.142821,216887
31040,485,0.142786,217388
31104,486,0.142811,217798
31168,487,0.142825,218225
31232,488,0.142779,218744
31296,489,0.142747,219241
31360,490,0.142772,219651
31424,491,0.142775,220095
31488,492,0.142793,220515
31552,493,0.142788,220971
31616,494,0.142757,221467
31680,495,0.142764,221905
31744,496,0.142791,222311
31808,497,0.142746,222829
31872,498,0.142741,223286
31936,499,0.142769,223690
32000,500,0.142767,224141
32064,501,0.142762,224598
32128,502,0.14278,225018
32192,503,0.142758,225500
32256,504,0.142777,225919
32320,505,0.142733,226437
32384,506,0.142779,226812
32448,507,0.142785,227251
32512,508,0.142788,227694
32576,509,0.142775,228163
32640,510,0.142728,228687
32704,511,0.142765,229076
32768,512,0.142765,229524
