version,parallelism,time
dpus=320,1048576,0.135824551226272
dpus=320,2097152,0.212763792802744
dpus=320,4194304,0.392599962099678
dpus=320,8388608,0.68548747763864
dpus=320,16777216,1.36013381012804
dpus=320,33554432,1.8857840368009
dpus=320,67108864,2.87851143598389
dpus=320,134217728,4.06344531337221
dpus=320,268435456,5.11764647355748
dpus=320,536870912,5.75253381306604
dpus=320,1073741824,6.26392408059593
dpus=320,2147483648,6.3630258329741
dpus=320,4294967296,6.3789809410809
dpus=320,8589934592,6.55577524034384
dpus=320,17179869184,6.56429648907039
dpus=384,8192,0.001658864700268
dpus=384,16384,0.003840564666805
dpus=384,32768,0.007507112330965
dpus=384,65536,0.019356051115009
dpus=384,131072,0.033961203261175
dpus=384,262144,0.066847409354803
dpus=384,524288,0.089374255560788
dpus=384,1048576,0.110398030150227
dpus=384,2097152,0.180312118935298
dpus=384,4194304,0.315695238095238
dpus=384,8388608,0.581440561430129
dpus=384,16777216,1.19877320018526
dpus=384,33554432,1.73154374849478
dpus=384,67108864,2.80749044547728
dpus=384,134217728,4.1230445571259
dpus=384,268435456,5.54487405224765
dpus=384,536870912,6.26261082173742
dpus=384,1073741824,6.79865801049553
dpus=384,2147483648,7.09983810512608
dpus=384,4294967296,7.1600872864706
dpus=384,8589934592,7.35032641057902
dpus=384,17179869184,7.44395005316772
dpus=448,8192,0.001312583722164
dpus=448,16384,0.003703101347378
dpus=448,32768,0.007375666457341
dpus=448,65536,0.015777380648456
dpus=448,131072,0.029281654122581
dpus=448,262144,0.060078759537288
dpus=448,524288,0.077365751897277
dpus=448,1048576,0.099920575648731
dpus=448,2097152,0.171126307791221
dpus=448,4194304,0.291539138082674
dpus=448,8388608,0.520784446969134
dpus=448,16777216,1.04288732740406
dpus=448,33554432,1.57674367603769
dpus=448,67108864,2.67730686887347
dpus=448,134217728,4.08903178866051
dpus=448,268435456,5.77416844098354
dpus=448,536870912,6.68418849901749
dpus=448,1073741824,7.52965635152154
dpus=448,2147483648,7.88705893852018
dpus=448,4294967296,7.95434027777778
dpus=448,8589934592,8.20496182298637
dpus=448,17179869184,8.23237479654705
dpus=512,8192,0.001186152883733
dpus=512,16384,0.003220471755592
dpus=512,32768,0.006309912567155
dpus=512,65536,0.01348138129622
dpus=512,131072,0.027301902996881
dpus=512,262144,0.054167406355406
dpus=512,524288,0.070636527830989
dpus=512,1048576,0.088274720901493
dpus=512,2097152,0.157433994730333
dpus=512,4194304,0.263123915160239
dpus=512,8388608,0.498156593099666
dpus=512,16777216,0.990720080662478
dpus=512,33554432,1.43047138047138
dpus=512,67108864,2.4972450226743
dpus=512,134217728,3.81767961320227
dpus=512,268435456,5.37721410475769
dpus=512,536870912,6.37532046424356
dpus=512,1073741824,7.63929461231918
dpus=512,2147483648,7.98582475077029
dpus=512,4294967296,8.36818180224711
dpus=512,8589934592,8.50540617143984
dpus=512,17179869184,8.54225718883741
dpus=512,34359738368,8.15001442244098
